127.0.0.1 - - [10/Dec/2023:15:30:11 5050] "GET / HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [10/Dec/2023:15:30:12 5050] "GET /mavenwebpipe/index.jsp HTTP/1.1" 500 6875
0:0:0:0:0:0:0:1 - - [10/Dec/2023:15:30:12 5050] "GET /favicon.ico HTTP/1.1" 404 609
0:0:0:0:0:0:0:1 - - [10/Dec/2023:15:33:29 5050] "GET /mavenwebpipe/index.jsp HTTP/1.1" 500 6690
0:0:0:0:0:0:0:1 - - [10/Dec/2023:15:33:33 5050] "GET /mavenwebpipe/index.jsp HTTP/1.1" 500 6690
0:0:0:0:0:0:0:1 - - [10/Dec/2023:15:40:09 5050] "GET /mavenwebpipe/index.jsp HTTP/1.1" 500 6690
0:0:0:0:0:0:0:1 - - [10/Dec/2023:15:43:54 5050] "GET /mavenwebpipe/index.jsp HTTP/1.1" 500 6690
0:0:0:0:0:0:0:1 - - [10/Dec/2023:15:50:20 5050] "GET /mavenwebpipe/index.jsp HTTP/1.1" 500 6690
0:0:0:0:0:0:0:1 - - [10/Dec/2023:16:00:35 5050] "GET /mavenwebpipe/index.jsp HTTP/1.1" 500 6690
0:0:0:0:0:0:0:1 - - [10/Dec/2023:16:04:33 5050] "GET /mavenwebpipe/index.jsp HTTP/1.1" 500 6690
0:0:0:0:0:0:0:1 - - [10/Dec/2023:16:21:00 5050] "GET /mavenwebpipe/ HTTP/1.1" 302 654
0:0:0:0:0:0:0:1 - - [10/Dec/2023:16:21:00 5050] "GET /mavenwebpipe/index.jsp HTTP/1.1" 500 6690
0:0:0:0:0:0:0:1 - - [10/Dec/2023:16:25:49 5050] "GET /mavenwebpipe/ HTTP/1.1" 302 654
0:0:0:0:0:0:0:1 - - [10/Dec/2023:16:25:49 5050] "GET /mavenwebpipe/index.jsp HTTP/1.1" 500 6690
